iter	RMSE
667	8871.868191
668	8853.538528
669	8839.513243
670	8832.647893
671	8824.420399
672	8823.289182
673	8814.600188
674	8811.442817
675	8809.808967
676	8808.736335
677	8796.376664
678	8789.951005
679	8783.101971
680	8773.805039
681	8762.752229
682	8755.363582
683	8741.809202
684	8733.347663
685	8720.057755
686	8703.826203
687	8687.741984
688	8678.119637
689	8672.129674
690	8660.80158
691	8647.794359
692	8634.755154
693	8623.658853
694	8612.821428
695	8600.779543
696	8591.503345
697	8580.157594
698	8579.150944
699	8563.034537
700	8554.858715
701	8542.025333
702	8530.269748
703	8529.227919
704	8518.528852
705	8506.089886
706	8490.295311
707	8485.928919
708	8480.362206
709	8470.047856
710	8453.136908
711	8440.466781
712	8429.600879
713	8428.52512
714	8409.777048
715	8396.420947
716	8385.23484
717	8376.510137
718	8366.198327
719	8357.438068
720	8342.566504
721	8341.672243
722	8326.563359
723	8319.537196
724	8309.122781
725	8299.061534
726	8292.954839
727	8281.105037
728	8280.322199
729	8267.441279
730	8257.496417
731	8253.208444
732	8240.754291
733	8239.909223
734	8226.767771
735	8225.597471
736	8212.944344
737	8201.521707
738	8190.885836
739	8179.029566
740	8169.464059
741	8158.332017
742	8147.607429
743	8140.060272
744	8126.811708
745	8125.110662
746	8114.217259
747	8106.75857
748	8103.073613
749	8095.22447
750	8081.0461
751	8070.274443
752	8069.604405
753	8054.875768
754	8046.708052
755	8039.076353
756	8025.992331
757	8013.999989
758	8003.539544
759	7987.61133
760	7983.265089
761	7975.24489
762	7967.034089
763	7961.176797
764	7953.736504
765	7946.935828
766	7942.907705
767	7934.735229
768	7924.862848
769	7916.12263
770	7907.97494
771	7900.691483
772	7889.462383
773	7875.268871
774	7864.185715
775	7848.617982
776	7842.399007
777	7832.063054
778	7819.923873
779	7805.343313
780	7791.086198
781	7783.095622
782	7776.393065
783	7764.292426
784	7753.676038
785	7739.558925
786	7738.759881
787	7734.577672
788	7733.786272
789	7733.094742
790	7717.578246
791	7713.262848
792	7699.113502
793	7698.440863
794	7686.526241
795	7681.632644
796	7667.652067
797	7660.278646
798	7654.795874
799	7651.99676
800	7640.823063
801	7637.84077
802	7629.825918
803	7617.787501
804	7616.909982
805	7615.58396
806	7609.631739
807	7596.059578
808	7595.112211
809	7584.543402
810	7577.162028
811	7567.240084
812	7560.556271
813	7559.939381
814	7559.358915
815	7553.189519
816	7543.724703
817	7543.1125
818	7536.41019
819	7528.19526
820	7517.385058
821	7503.427375
822	7502.766592
823	7496.926372
824	7489.564207
825	7486.271263
826	7480.385249
827	7467.510403
828	7466.956056
829	7462.411186
830	7461.878012
831	7448.118195
832	7439.025386
833	7429.305002
834	7421.911566
835	7413.006809
836	7406.738463
837	7406.264376
838	7405.713092
839	7399.253506
840	7388.799395
841	7377.02227
842	7368.974043
843	7359.176085
844	7352.694079
845	7343.907965
846	7338.65392
847	7334.101464
848	7333.578366
849	7326.468752
850	7316.82165
851	7316.387307
852	7306.886015
853	7300.777369
854	7300.277825
855	7289.480836
856	7284.511685
857	7275.116292
858	7267.955482
859	7258.597138
860	7253.653209
861	7247.401819
862	7241.1664
863	7232.096654
864	7224.237672
865	7216.739193
866	7209.335264
867	7199.613584
868	7187.272321
869	7184.011153
870	7176.746925
871	7162.089176
872	7161.673992
873	7152.867472
874	7147.201463
875	7137.666523
876	7130.366721
877	7123.15522
878	7110.513066
879	7110.024024
880	7100.444764
881	7099.960443
882	7088.188037
883	7076.394686
884	7069.033304
885	7059.184149
886	7058.755903
887	7048.23216
888	7044.007871
889	7040.919384
890	7030.980876
891	7022.89502
892	7019.071377
893	7012.90182
894	7007.203522
895	7001.037596
896	6992.117818
897	6989.077113
898	6988.632592
899	6988.121708
900	6976.00353
901	6973.537173
902	6969.40554
903	6966.089784
904	6964.315096
905	6957.771547
906	6951.623287
907	6943.792856
908	6938.566883
909	6930.093596
910	6929.551531
911	6922.354084
912	6913.380231
913	6909.035115
914	6899.540021
915	6887.85905
916	6874.228612
917	6873.787526
918	6869.153811
919	6860.443274
920	6856.11398
921	6846.723551
922	6838.169179
923	6831.607696
924	6829.966397
925	6815.266948
926	6808.528431
927	6801.980061
928	6794.676933
929	6788.921451
930	6778.520375
931	6772.137035
932	6763.194574
933	6754.28901
934	6750.94636
935	6741.498318
936	6731.546086
937	6728.341139
938	6718.90654
939	6708.91378
940	6702.994918
941	6694.285393
942	6687.606919
943	6677.748856
944	6668.911464
945	6664.695175
946	6656.536082
947	6648.485702
948	6639.976009
949	6632.447362
950	6621.53691
951	6611.390863
952	6603.793802
953	6603.097995
954	6595.43568
955	6590.93071
956	6580.500691
957	6578.190148
958	6574.36341
959	6571.686253
960	6567.123431
961	6561.090319
962	6560.684251
963	6554.187199
964	6549.416324
965	6539.829089
966	6538.209251
967	6530.744873
968	6522.86049
969	6519.407396
970	6504.711041
971	6501.21427
972	6495.354628
973	6482.802747
974	6476.628503
975	6465.356986
976	6457.693022
977	6445.613306
978	6445.242143
979	6444.636284
980	6438.295754
981	6436.915026
982	6431.273029
983	6426.905302
984	6422.272365
985	6417.71107
986	6409.934144
987	6401.965769
988	6397.570138
989	6389.104749
990	6381.754441
991	6374.150545
992	6372.133412
993	6360.59922
994	6353.024239
995	6346.453766
996	6343.109555
997	6335.573498
998	6327.937348
999	6317.487073
